schema_version,source_id,name,display_name,category,primary_muscles,secondary_muscles,equipment,featured,minimum_level,progression_group,progression_level,license,license_url,author,source_url
1,580,Side Plank,Side Plank,Abs,Abs,Obliquus externus abdominis,none (bodyweight exercise),false,intermediate,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,http://www.bodybuilding.com/,https://wger.de/en/exercise/580/view
1,71,Single Leg Extension,Single Leg Extension,Legs,Quads,,,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/71/view
1,1968,Single-arm dumbbell shoulder press,Single-arm dumbbell shoulder press,Shoulders,Shoulders,Abs|Serratus anterior|Trapezius|Triceps,Dumbbell,false,beginner,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,evtimovgeorg,https://wger.de/en/exercise/1968/view
1,615,Squats,Squats,Legs,Quads,Glutes,Barbell,true,intermediate,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/615/view
1,622,Standing Calf Raises,Standing Calf Raises,Calves,Calves,Soleus,,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/622/view
1,981,Step-ups,Step-ups,Legs,Glutes|Quads,Calves|Hamstrings,Bench,false,beginner,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,wger contributors,https://wger.de/en/exercise/981/view
1,636,Superman,Superman,Back,Glutes|Lats,,Gym mat,false,beginner,pull,beginner,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,baldurmen,https://wger.de/en/exercise/636/view
1,1185,Triceps Pushdown,Triceps Pushdown,Arms,Triceps,,Cable machine,false,intermediate,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,anto.kreegyr,https://wger.de/en/exercise/1185/view
1,1104,Walking,Walking,Cardio,Abs|Calves|Glutes|Hamstrings|Lats|Obliquus externus abdominis|Quads,,none (bodyweight exercise),true,beginner,cardio,beginner,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,wger contributors,https://wger.de/en/exercise/1104/view
1,713,Wall Pushup,Wall Push-Up,Arms,Chest|Shoulders|Triceps,Abs|Glutes|Serratus anterior|Trapezius,none (bodyweight exercise),false,beginner,push,beginner,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Dexter,https://wger.de/en/exercise/713/view
